,Year,Week,TempMax,TempMIN,PRCP_mm,GoogleTrendsFever,GoogleTrendsVomit,GoogleTrendsVaccine,TotalFluSympPatients,TotalFluPositiveVirusPatients,GoogleTrendsFatigue
177,2018,17,17,4,0.57,34,13,10,56.0,1.0,48.0
178,2018,18,21,9,2.0,34,11,10,44.0,2.0,48.0
179,2018,19,23,8,0.21,33,13,9,41.0,0.0,48.0
180,2018,20,19,7,1.14,35,13,10,22.0,0.0,48.0
181,2018,21,20,5,0.0,35,14,15,23.0,0.0,49.0
182,2018,22,25,11,0.54,35,12,14,20.0,0.0,48.0
183,2018,23,22,10,2.96,36,13,14,52.0,0.0,49.0
184,2018,24,26,11,0.04,36,13,8,37.0,0.0,49.0
185,2018,25,30,17,0.0,34,17,11,45.0,0.0,48.0
186,2018,26,28,14,0.54,36,12,11,37.0,0.0,49.0
187,2018,27,24,13,0.04,36,12,11,27.0,0.0,49.0
188,2018,28,23,12,1.5,35,13,12,21.0,0.0,49.0
189,2018,29,25,11,0.0,35,13,12,17.0,2.0,49.0
190,2018,30,28,12,0.0,36,10,13,19.0,0.0,49.0
191,2018,31,24,13,13.21,36,15,9,19.0,0.0,49.0
192,2018,32,28,14,0.0,32,10,10,18.0,0.0,49.0
193,2018,33,31,17,0.57,34,13,12,18.0,1.0,49.0
194,2018,34,32,18,0.0,29,13,15,23.0,0.0,48.0
195,2018,35,30,15,0.18,32,14,11,19.0,0.0,50.0
196,2018,36,29,14,0.0,34,13,11,21.0,0.0,50.0
197,2018,37,26,12,0.07,35,12,10,36.0,1.0,50.0
198,2018,38,23,11,0.14,31,15,11,36.0,1.0,49.0
200,2018,40,23,12,0.14,37,13,18,32.0,0.0,50.0
201,2018,41,25,11,2.29,35,15,19,42.0,0.0,50.0
202,2018,42,17,4,0.61,32,12,13,48.0,0.0,50.0
203,2018,43,16,5,0.64,33,10,10,70.0,1.0,49.0
204,2018,44,22,8,0.0,39,13,13,69.0,3.0,50.0
205,2018,45,17,5,0.0,37,13,12,99.0,2.0,50.0
206,2018,46,11,5,1.54,39,10,13,109.0,2.0,50.0
207,2018,47,13,4,0.04,46,8,14,122.0,3.0,50.0
208,2018,48,13,6,0.21,43,10,18,117.0,4.0,50.0
209,2018,49,9,3,1.54,44,11,11,121.0,5.0,50.0
210,2018,50,3,1,0.29,45,10,13,131.0,3.0,47.0
211,2018,51,4,-1,1.11,44,18,6,102.0,5.0,49.0
212,2018,52,10,4,3.14,41,13,11,30.0,2.0,50.0
213,2019,1,3,0,0.71,38,12,10,95.0,12.0,50.0
214,2019,2,7,2,1.68,43,12,11,139.0,24.0,50.0
215,2019,3,7,4,1.07,50,14,19,173.0,32.0,49.0
216,2019,4,8,3,1.5,61,12,13,209.0,58.0,47.0
217,2019,5,5,0,0.58,66,12,16,259.0,117.0,47.0
218,2019,6,5,2,4.07,70,9,21,284.0,140.0,48.0
219,2019,7,4,-1,0.64,71,12,17,280.0,139.0,46.0
220,2019,8,0,-4,1.14,69,8,18,279.0,136.0,47.0
221,2019,9,3,-1,0.64,64,11,14,263.0,135.0,46.0
222,2019,10,7,1,2.04,54,11,15,220.0,98.0,47.0
223,2019,11,11,0,0.11,53,9,18,194.0,84.0,48.0
224,2019,12,10,0,0.89,46,14,14,162.0,70.0,48.0
225,2019,13,11,2,0.43,45,13,9,128.0,36.0,49.0
226,2019,14,12,4,3.54,41,10,14,110.0,35.0,48.0
227,2019,15,9,4,3.11,42,11,15,101.0,18.0,49.0
228,2019,16,12,2,0.07,40,15,16,52.0,13.0,49.0
229,2019,17,12,3,0.89,34,9,15,25.0,2.0,48.0
230,2019,18,18,5,0.0,32,11,14,31.0,1.0,49.0
231,2019,19,10,2,0.14,35,11,14,30.0,0.0,49.0
232,2019,20,20,3,0.0,36,10,12,35.0,2.0,49.0
233,2019,21,21,10,1.54,36,12,11,29.0,2.0,48.0
234,2019,22,15,3,0.5,35,8,19,14.0,0.0,48.0
235,2019,23,16,4,0.36,35,11,15,29.0,0.0,49.0
236,2019,24,18,5,1.46,38,17,18,22.0,0.0,48.0
237,2019,25,21,10,2.61,39,12,16,26.0,0.0,49.0
238,2019,26,24,10,0.54,39,9,15,24.0,0.0,49.0
239,2019,27,29,14,3.39,35,14,14,125.0,4.0,49.0
240,2019,28,29,15,9.0,37,13,15,25.0,2.0,50.0
241,2019,29,28,15,0.46,37,11,9,22.0,0.0,49.0
242,2019,30,32,15,0.0,36,8,14,22.0,1.0,49.0
243,2019,31,22,12,0.54,35,9,12,10.0,1.0,49.0
244,2019,32,23,12,1.57,32,12,13,22.0,0.0,50.0
245,2019,33,25,13,2.5,33,9,10,19.0,0.0,49.0
246,2019,34,30,16,0.0,37,9,12,8.0,0.0,49.0
247,2019,35,27,16,10.32,34,7,12,16.0,0.0,50.0
248,2019,36,27,15,1.11,35,12,13,21.0,0.0,50.0
